"roi","class_name","worms","username"
"D20180404T203345_IFCB115_00035","detritus",NULL,"rshipe"
"D20180404T203345_IFCB115_00036","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00037","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00038","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00039","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00040","other",NULL,"rshipe"
"D20180404T203345_IFCB115_00042","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00044","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00045","detritus",NULL,"rshipe"
"D20180404T203345_IFCB115_00046","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00047","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00048","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00049","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00050","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00051","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00052","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00053","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00054","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00055","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00057","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00058","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00059","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00060","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00061","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00062","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00063","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00064","detritus",NULL,"rshipe"
"D20180404T203345_IFCB115_00065","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00066","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00067","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00068","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00069","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00070","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00071","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00072","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00073","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00074","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00075","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00076","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00077","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00078","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00079","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00080","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00081","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00082","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00083","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00084","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00085","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00086","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00087","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00088","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00089","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00090","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00091","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00092","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00093","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00094","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00095","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00096","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00097","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00098","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00099","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00100","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00101","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00102","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00103","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00104","other",NULL,"rshipe"
"D20180404T203345_IFCB115_00105","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00106","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00107","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00108","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00109","other",NULL,"rshipe"
"D20180404T203345_IFCB115_00110","other",NULL,"rshipe"
"D20180404T203345_IFCB115_00111","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00112","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00113","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00114","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00115","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00116","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00117","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00118","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00119","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00120","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00121","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00122","detritus",NULL,"rshipe"
"D20180404T203345_IFCB115_00123","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00124","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00125","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00126","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00127","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00129","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00130","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00131","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00132","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00133","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00134","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00135","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00136","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00137","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00138","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00140","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00141","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00142","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00143","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00144","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00145","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00146","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00147","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00148","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00149","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00150","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00151","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00152","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00153","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00154","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00155","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00157","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00158","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00159","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00160","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00161","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00162","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00163","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00164","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00165","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00166","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00167","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00168","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00169","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00170","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00171","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00172","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00173","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00174","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00175","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00176","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00177","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00178","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00179","bead",NULL,"rshipe"
"D20180404T203345_IFCB115_00180","bead",NULL,"rshipe"
"D20180404T203715_IFCB115_00003","Katodinium or Torodinium",109410,"rshipe"
"D20180404T203715_IFCB115_00015","detritus",NULL,"rshipe"
"D20180404T203715_IFCB115_00016","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00018","other",NULL,"rshipe"
"D20180404T203715_IFCB115_00022","other",NULL,"kkenitz"
"D20180404T203715_IFCB115_00024","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00025","Katodinium or Torodinium",109410,"rshipe"
"D20180404T203715_IFCB115_00026","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00027","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00036","other",NULL,"kkenitz"
"D20180404T203715_IFCB115_00037","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00039","Katodinium or Torodinium",109410,"rshipe"
"D20180404T203715_IFCB115_00048","detritus",NULL,"rshipe"
"D20180404T203715_IFCB115_00049","other",NULL,"kkenitz"
"D20180404T203715_IFCB115_00057","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00063","detritus",NULL,"rshipe"
"D20180404T203715_IFCB115_00066","Katodinium or Torodinium",109410,"rshipe"
"D20180404T203715_IFCB115_00068","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00070","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00071","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00076","other",NULL,"kkenitz"
"D20180404T203715_IFCB115_00077","detritus",NULL,"rshipe"
"D20180404T203715_IFCB115_00078","Katodinium or Torodinium",109410,"rshipe"
"D20180404T203715_IFCB115_00082","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00083","other",NULL,"rshipe"
"D20180404T203715_IFCB115_00090","detritus",NULL,"rshipe"
"D20180404T203715_IFCB115_00091","other",NULL,"rshipe"
"D20180404T203715_IFCB115_00096","other",NULL,"kkenitz"
"D20180404T203715_IFCB115_00100","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00114","other",NULL,"kkenitz"
"D20180404T203715_IFCB115_00116","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00130","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00134","other",NULL,"kkenitz"
"D20180404T203715_IFCB115_00145","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00151","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00153","other",NULL,"kkenitz"
"D20180404T203715_IFCB115_00161","detritus",NULL,"rshipe"
"D20180404T203715_IFCB115_00165","other",NULL,"rshipe"
"D20180404T203715_IFCB115_00168","other",NULL,"kkenitz"
"D20180404T203715_IFCB115_00171","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00172","other",NULL,"kkenitz"
"D20180404T203715_IFCB115_00176","detritus",NULL,"rshipe"
"D20180404T203715_IFCB115_00178","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00179","other",NULL,"kkenitz"
"D20180404T203715_IFCB115_00187","other",NULL,"kkenitz"
"D20180404T203715_IFCB115_00189","detritus",NULL,"rshipe"
"D20180404T203715_IFCB115_00194","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00204","other",NULL,"rshipe"
"D20180404T203715_IFCB115_00210","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00212","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00213","other",NULL,"kkenitz"
"D20180404T203715_IFCB115_00229","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00235","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00236","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00240","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00242","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00250","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00258","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00266","other",NULL,"kkenitz"
"D20180404T203715_IFCB115_00278","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00287","other",NULL,"kkenitz"
"D20180404T203715_IFCB115_00289","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00290","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00293","detritus",NULL,"rshipe"
"D20180404T203715_IFCB115_00308","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00310","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00312","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00318","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00320","other",NULL,"rshipe"
"D20180404T203715_IFCB115_00321","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00322","other",NULL,"kkenitz"
"D20180404T203715_IFCB115_00323","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00324","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00327","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00334","Katodinium or Torodinium",109410,"rshipe"
"D20180404T203715_IFCB115_00343","other",NULL,"kkenitz"
"D20180404T203715_IFCB115_00350","other",NULL,"kkenitz"
"D20180404T203715_IFCB115_00353","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00357","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00364","other",NULL,"rshipe"
"D20180404T203715_IFCB115_00368","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00372","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00375","detritus",NULL,"rshipe"
"D20180404T203715_IFCB115_00377","detritus",NULL,"rshipe"
"D20180404T203715_IFCB115_00390","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00393","detritus",NULL,"rshipe"
"D20180404T203715_IFCB115_00394","other",NULL,"kkenitz"
"D20180404T203715_IFCB115_00395","detritus",NULL,"rshipe"
"D20180404T203715_IFCB115_00401","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00403","detritus",NULL,"rshipe"
"D20180404T203715_IFCB115_00404","other",NULL,"rshipe"
"D20180404T203715_IFCB115_00405","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00408","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00413","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00419","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00424","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00426","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00429","detritus",NULL,"rshipe"
"D20180404T203715_IFCB115_00432","detritus",NULL,"rshipe"
"D20180404T203715_IFCB115_00439","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00443","detritus",NULL,"rshipe"
"D20180404T203715_IFCB115_00455","Katodinium or Torodinium",109410,"rshipe"
"D20180404T203715_IFCB115_00458","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00459","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00460","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00466","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00467","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00473","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00479","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00480","Katodinium or Torodinium",109410,"rshipe"
"D20180404T203715_IFCB115_00487","detritus",NULL,"rshipe"
"D20180404T203715_IFCB115_00489","detritus",NULL,"rshipe"
"D20180404T203715_IFCB115_00490","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00495","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00508","detritus",NULL,"rshipe"
"D20180404T203715_IFCB115_00513","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00519","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00520","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00523","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00528","Katodinium or Torodinium",109410,"rshipe"
"D20180404T203715_IFCB115_00530","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00531","other",NULL,"kkenitz"
"D20180404T203715_IFCB115_00532","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00544","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00546","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00560","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00561","other",NULL,"kkenitz"
"D20180404T203715_IFCB115_00577","Bacillariophyceae",148899,"rshipe"
"D20180404T203715_IFCB115_00597","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00601","other",NULL,"rshipe"
"D20180404T203715_IFCB115_00603","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00605","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00612","other",NULL,"kkenitz"
"D20180404T203715_IFCB115_00623","WHAT?",NULL,"rshipe"
"D20180404T203715_IFCB115_00626","Katodinium or Torodinium",109410,"rshipe"
"D20180404T203715_IFCB115_00627","other",NULL,"kkenitz"
"D20180404T203715_IFCB115_00636","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00639","mix",NULL,"hsosik"
"D20180404T203715_IFCB115_00640","mix",NULL,"hsosik"
"D20180404T204116_IFCB115_00002","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00003","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00004","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00005","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00006","detritus",NULL,"rshipe"
"D20180404T204116_IFCB115_00007","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00008","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00009","other",NULL,"rshipe"
"D20180404T204116_IFCB115_00010","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00011","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00012","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00013","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00014","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00015","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00016","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00017","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00018","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00019","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00020","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00021","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00022","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00023","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00024","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00025","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00026","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00027","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00028","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00029","detritus",NULL,"rshipe"
"D20180404T204116_IFCB115_00031","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00032","detritus",NULL,"rshipe"
"D20180404T204116_IFCB115_00033","bead",NULL,"rshipe"
"D20180404T204116_IFCB115_00034","bead",NULL,"rshipe"
