class_vNone_SIO_Delmar_mooring_20220225	class vNone no underscores	second_attempt_match	AphiaID	Match type	LSID	ScientificName	Taxon status	AphiaID_accepted	ScientificName_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
Dactyliosolen_blavyanus	Dactyliosolen blavyanus		179786	exact	urn:lsid:marinespecies.org:taxname:179786	Dactyliosolen blavyanus	alternate representation	975336	Guinardia blavyana var. blavyana	Chromista	Ochrophyta	Bacillariophyceae	Rhizosoleniales	Rhizosoleniaceae	Dactyliosolen		blavyanus	
Dactyliosolen_fragilissimus	Dactyliosolen fragilissimus		149310	exact	urn:lsid:marinespecies.org:taxname:149310	Dactyliosolen fragilissimus	alternate representation	985165	Rhizosolenia fragilissima f. fragilissima	Chromista	Ochrophyta	Bacillariophyceae	Rhizosoleniales	Rhizosoleniaceae	Dactyliosolen		fragilissimus	
Delphineis	Delphineis		149179	exact	urn:lsid:marinespecies.org:taxname:149179	Delphineis	accepted	149179	Delphineis	Chromista	Ochrophyta	Bacillariophyceae	Rhaponeidales	Rhaphoneidaceae	Delphineis			
Dictyocha	Dictyocha		157258	exact	urn:lsid:marinespecies.org:taxname:157258	Dictyocha	accepted	157258	Dictyocha	Chromista	Ochrophyta	Dictyochophyceae	Dictyochales	Dictyochaceae	Dictyocha			
Dictyocysta	Dictyocysta		196834	exact	urn:lsid:marinespecies.org:taxname:196834	Dictyocysta	accepted	196834	Dictyocysta	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Dictyocystidae	Dictyocysta			
Didinium	Didinium		341301	exact	urn:lsid:marinespecies.org:taxname:341301	Didinium	accepted	341301	Didinium	Chromista	Ciliophora	Litostomatea	Haptorida	Didiniidae	Didinium			
Dinobryon	Dinobryon		157240	exact	urn:lsid:marinespecies.org:taxname:157240	Dinobryon	accepted	157240	Dinobryon	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Dinobryaceae	Dinobryon			
Dinophyceae	Dinophyceae		19542	exact	urn:lsid:marinespecies.org:taxname:19542	Dinophyceae	accepted	19542	Dinophyceae	Chromista	Myzozoa	Dinophyceae						
Dinophysis_acuminata	Dinophysis acuminata		109603	exact	urn:lsid:marinespecies.org:taxname:109603	Dinophysis acuminata	accepted	109603	Dinophysis acuminata	Chromista	Myzozoa	Dinophyceae	Dinophysiales	Dinophysaceae	Dinophysis		acuminata	
Dinophysis_norvegica	Dinophysis norvegica		109637	exact	urn:lsid:marinespecies.org:taxname:109637	Dinophysis norvegica	accepted	109637	Dinophysis norvegica	Chromista	Myzozoa	Dinophyceae	Dinophysiales	Dinophysaceae	Dinophysis		norvegica	
Dinophysis_tripos	Dinophysis tripos		109662	exact	urn:lsid:marinespecies.org:taxname:109662	Dinophysis tripos	accepted	109662	Dinophysis tripos	Chromista	Myzozoa	Dinophyceae	Dinophysiales	Dinophysaceae	Dinophysis		tripos	
Ditylum_brightwellii	Ditylum brightwellii		149023	exact	urn:lsid:marinespecies.org:taxname:149023	Ditylum brightwellii	uncertain	149023	Ditylum brightwellii	Chromista	Ochrophyta	Bacillariophyceae	Lithodesmiales	Lithodesmiaceae	Ditylum		brightwellii	
Emiliania_huxleyi	Emiliania huxleyi		115104	exact	urn:lsid:marinespecies.org:taxname:115104	Emiliania huxleyi	accepted	115104	Emiliania huxleyi	Chromista	Haptophyta	Prymnesiophyceae	Isochrysidales	Noelaerhabdaceae	Emiliania		huxleyi	
Ephemera	Ephemera		291403	exact	urn:lsid:marinespecies.org:taxname:291403	Ephemera	accepted	291403	Ephemera	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Plagiotropidaceae	Ephemera			
Eucampia	Eucampia		149130	exact	urn:lsid:marinespecies.org:taxname:149130	Eucampia	accepted	149130	Eucampia	Chromista	Ochrophyta	Bacillariophyceae	Hemiaulales	Hemiaulaceae	Eucampia			
Eucampia_morphytype1	Eucampia morphytype1		149130	exact	urn:lsid:marinespecies.org:taxname:149130	Eucampia	accepted	149130	Eucampia	Chromista	Ochrophyta	Bacillariophyceae	Hemiaulales	Hemiaulaceae	Eucampia			
Euglena	Euglena		8012	exact	urn:lsid:marinespecies.org:taxname:8012	Euglena	accepted	8012	Euglena	Protozoa	Euglenozoa	Euglenoidea	Euglenida	Euglenaceae	Euglena			
Euplotes	Euplotes		179326	exact	urn:lsid:marinespecies.org:taxname:179326	Euplotes	accepted	179326	Euplotes	Chromista	Ciliophora	Spirotrichea	Euplotida	Euplotidae	Euplotes			
Euplotes_morphotype1	Euplotes morphotype1		179326	exact	urn:lsid:marinespecies.org:taxname:179326	Euplotes	accepted	179326	Euplotes	Chromista	Ciliophora	Spirotrichea	Euplotida	Euplotidae	Euplotes			
Eutintinnus	Eutintinnus		183543	exact	urn:lsid:marinespecies.org:taxname:183543	Eutintinnus	accepted	183543	Eutintinnus	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Tintinnidae	Eutintinnus			
Favella	Favella		172431	exact	urn:lsid:marinespecies.org:taxname:172431	Favella	accepted	172431	Favella	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Ptychocylididae	Favella			
Gonyaulax	Gonyaulax		109519	exact	urn:lsid:marinespecies.org:taxname:109519	Gonyaulax	accepted	109519	Gonyaulax	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Gonyaulax			
Guinardia_delicatula	Guinardia delicatula		149112	exact	urn:lsid:marinespecies.org:taxname:149112	Guinardia delicatula	alternate representation	149114	Rhizosolenia delicatula	Chromista	Ochrophyta	Bacillariophyceae	Rhizosoleniales	Rhizosoleniaceae	Guinardia		delicatula	
Guinardia_delicatula_TAG_Amphidinium_grazing	Guinardia delicatula TAG Amphidinium grazing	Guinardia delicatula	149112	exact	urn:lsid:marinespecies.org:taxname:149112	Guinardia delicatula	alternate representation	149114	Rhizosolenia delicatula	Chromista	Ochrophyta	Bacillariophyceae	Rhizosoleniales	Rhizosoleniaceae	Guinardia		delicatula	
Guinardia_delicatula_TAG_external_parasite	Guinardia delicatula TAG external parasite	Guinardia delicatula	149112	exact	urn:lsid:marinespecies.org:taxname:149112	Guinardia delicatula	alternate representation	149114	Rhizosolenia delicatula	Chromista	Ochrophyta	Bacillariophyceae	Rhizosoleniales	Rhizosoleniaceae	Guinardia		delicatula	
Guinardia_delicatula_TAG_internal_parasite	Guinardia delicatula TAG internal parasite	Guinardia delicatula	149112	exact	urn:lsid:marinespecies.org:taxname:149112	Guinardia delicatula	alternate representation	149114	Rhizosolenia delicatula	Chromista	Ochrophyta	Bacillariophyceae	Rhizosoleniales	Rhizosoleniaceae	Guinardia		delicatula	
Guinardia_flaccida	Guinardia flaccida		149132	exact	urn:lsid:marinespecies.org:taxname:149132	Guinardia flaccida	alternate representation	160530	Rhizosolenia flaccida	Chromista	Ochrophyta	Bacillariophyceae	Rhizosoleniales	Rhizosoleniaceae	Guinardia		flaccida	
Guinardia_striata	Guinardia striata		149113	exact	urn:lsid:marinespecies.org:taxname:149113	Guinardia striata	alternate representation	163243	Eucampia striata	Chromista	Ochrophyta	Bacillariophyceae	Rhizosoleniales	Rhizosoleniaceae	Guinardia		striata	
Gyrodinium	Gyrodinium		109476	exact	urn:lsid:marinespecies.org:taxname:109476	Gyrodinium	accepted	109476	Gyrodinium	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium			
Hemiaulus	Hemiaulus		163248	exact	urn:lsid:marinespecies.org:taxname:163248	Hemiaulus	accepted	163248	Hemiaulus	Chromista	Ochrophyta	Bacillariophyceae	Hemiaulales	Hemiaulaceae	Hemiaulus			
Hemiaulus_membranaceus	Hemiaulus membranaceus		418540	exact	urn:lsid:marinespecies.org:taxname:418540	Hemiaulus membranaceus	accepted	418540	Hemiaulus membranaceus	Chromista	Ochrophyta	Bacillariophyceae	Hemiaulales	Hemiaulaceae	Hemiaulus		membranaceus	
Heterocapsa_rotundata	Heterocapsa rotundata		110152	exact	urn:lsid:marinespecies.org:taxname:110152	Heterocapsa rotundata	accepted	110152	Heterocapsa rotundata	Chromista	Myzozoa	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa		rotundata	
Heterocapsa_triquetra	Heterocapsa triquetra		110153	exact	urn:lsid:marinespecies.org:taxname:110153	Heterocapsa triquetra	unaccepted	1346683	Kryptoperidinium triquetrum	Chromista	Myzozoa	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa		triquetra	
Karenia	Karenia		231788	exact	urn:lsid:marinespecies.org:taxname:231788	Karenia	accepted	231788	Karenia	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Brachidiniaceae	Karenia			
Katodinium_or_Torodinium	Katodinium or Torodinium	Dinophyceae	19542	exact	urn:lsid:marinespecies.org:taxname:19542	Dinophyceae	accepted	19542	Dinophyceae	Chromista	Myzozoa	Dinophyceae						
Laboea_strobila	Laboea strobila		101264	exact	urn:lsid:marinespecies.org:taxname:101264	Laboea strobila	accepted	101264	Laboea strobila	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Tontoniidae	Laboea		strobila	
Lauderia_annulata	Lauderia annulata		149135	exact	urn:lsid:marinespecies.org:taxname:149135	Lauderia annulata	uncertain	149135	Lauderia annulata	Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Lauderiaceae	Lauderia		annulata	
Leegaardiella_ovalis	Leegaardiella ovalis		101206	exact	urn:lsid:marinespecies.org:taxname:101206	Leegaardiella ovalis	accepted	101206	Leegaardiella ovalis	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Leegaardiellidae	Leegaardiella		ovalis	
Leptocylindrus	Leptocylindrus		149038	exact	urn:lsid:marinespecies.org:taxname:149038	Leptocylindrus	accepted	149038	Leptocylindrus	Chromista	Ochrophyta	Bacillariophyceae	Leptocylindrales	Leptocylindraceae	Leptocylindrus			
Leptocylindrus_mediterraneus	Leptocylindrus mediterraneus		149230	exact	urn:lsid:marinespecies.org:taxname:149230	Leptocylindrus mediterraneus	alternate representation	163261	Lauderia mediterranea	Chromista	Ochrophyta	Bacillariophyceae	Leptocylindrales	Leptocylindraceae	Leptocylindrus		mediterraneus	
Licmophora	Licmophora		149342	exact	urn:lsid:marinespecies.org:taxname:149342	Licmophora	accepted	149342	Licmophora	Chromista	Ochrophyta	Bacillariophyceae	Licmophorales	Licmophoraceae	Licmophora			
Margalefidinium	Margalefidinium		990875	exact	urn:lsid:marinespecies.org:taxname:990875	Margalefidinium	accepted	990875	Margalefidinium	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Margalefidinium			
Mesodinium	Mesodinium		179320	exact	urn:lsid:marinespecies.org:taxname:179320	Mesodinium	accepted	179320	Mesodinium	Chromista	Ciliophora	Litostomatea	Cyclotrichiida	Mesodiniidae	Mesodinium			
Nanoneis	Nanoneis		248179	exact	urn:lsid:marinespecies.org:taxname:248179	Nanoneis	accepted	248179	Nanoneis	Chromista	Ochrophyta	Bacillariophyceae			Nanoneis			
Odontella	Odontella		148963	exact	urn:lsid:marinespecies.org:taxname:148963	Odontella	accepted	148963	Odontella	Chromista	Ochrophyta	Bacillariophyceae	Triceratiales	Triceratiaceae	Odontella			
Ophiaster	Ophiaster		115081	exact	urn:lsid:marinespecies.org:taxname:115081	Ophiaster	accepted	115081	Ophiaster	Chromista	Haptophyta	Prymnesiophyceae	Syracosphaerales	Syracosphaeraceae	Ophiaster			
Oxytoxum	Oxytoxum		109528	exact	urn:lsid:marinespecies.org:taxname:109528	Oxytoxum	accepted	109528	Oxytoxum	Chromista	Myzozoa	Dinophyceae	Peridiniales	Oxytoxaceae	Oxytoxum			
Paralia_sulcata	Paralia sulcata		149055	exact	urn:lsid:marinespecies.org:taxname:149055	Paralia sulcata	accepted	149055	Paralia sulcata	Chromista	Ochrophyta	Bacillariophyceae	Paraliales	Paraliaceae	Paralia		sulcata	
Parvicorbicula_socialis	Parvicorbicula socialis		105588	exact	urn:lsid:marinespecies.org:taxname:105588	Parvicorbicula socialis	accepted	105588	Parvicorbicula socialis	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Parvicorbicula		socialis	
Phaeocystis	Phaeocystis		115088	exact	urn:lsid:marinespecies.org:taxname:115088	Phaeocystis	accepted	115088	Phaeocystis	Chromista	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis			
Phaeocystis_single	Phaeocystis single	Phaeocystis	115088	exact	urn:lsid:marinespecies.org:taxname:115088	Phaeocystis	accepted	115088	Phaeocystis	Chromista	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis			
Pleuronema	Pleuronema		163556	exact	urn:lsid:marinespecies.org:taxname:163556	Pleuronema	accepted	163556	Pleuronema	Chromista	Ciliophora	Oligohymenophorea	Pleuronematida	Pleuronematidae	Pleuronema			
Pleurosigma	Pleurosigma		149181	exact	urn:lsid:marinespecies.org:taxname:149181	Pleurosigma	accepted	149181	Pleurosigma	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pleurosigmataceae	Pleurosigma			
Polykrikos	Polykrikos		109485	exact	urn:lsid:marinespecies.org:taxname:109485	Polykrikos	accepted	109485	Polykrikos	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Polykrikaceae	Polykrikos			
Prorocentrum	Prorocentrum		109566	exact	urn:lsid:marinespecies.org:taxname:109566	Prorocentrum	accepted	109566	Prorocentrum	Chromista	Myzozoa	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum			
Prorocentrum_micans	Prorocentrum micans		110303	exact	urn:lsid:marinespecies.org:taxname:110303	Prorocentrum micans	accepted	110303	Prorocentrum micans	Chromista	Myzozoa	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum		micans	
Prorocentrum_triestinum	Prorocentrum triestinum		110316	exact	urn:lsid:marinespecies.org:taxname:110316	Prorocentrum triestinum	accepted	110316	Prorocentrum triestinum	Chromista	Myzozoa	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum		triestinum	
Proterythropsis	Proterythropsis		231794	exact	urn:lsid:marinespecies.org:taxname:231794	Proterythropsis	accepted	231794	Proterythropsis	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Warnowiaceae	Proterythropsis			
Protoperidinium	Protoperidinium		109553	exact	urn:lsid:marinespecies.org:taxname:109553	Protoperidinium	accepted	109553	Protoperidinium	Chromista	Myzozoa	Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium			
Pseudo-nitzschia	Pseudo-nitzschia		149151	exact	urn:lsid:marinespecies.org:taxname:149151	Pseudo-nitzschia	accepted	149151	Pseudo-nitzschia	Chromista	Ochrophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia			
Pseudochattonella_farcimen	Pseudochattonella farcimen		531467	exact	urn:lsid:marinespecies.org:taxname:531467	Pseudochattonella farcimen	accepted	531467	Pseudochattonella farcimen	Chromista	Ochrophyta	Dictyochophyceae	Florenciellales	Florenciellales incertae sedis	Pseudochattonella		farcimen	
Pyramimonas	Pyramimonas		134529	exact	urn:lsid:marinespecies.org:taxname:134529	Pyramimonas	accepted	134529	Pyramimonas	Plantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas			
Pyramimonas_longicauda	Pyramimonas longicauda		160513	exact	urn:lsid:marinespecies.org:taxname:160513	Pyramimonas longicauda	accepted	160513	Pyramimonas longicauda	Plantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas		longicauda	
Pyramimonas_morphotype1	Pyramimonas morphotype1		134529	exact	urn:lsid:marinespecies.org:taxname:134529	Pyramimonas	accepted	134529	Pyramimonas	Plantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas			
Radiozoa	Radiozoa		582421	exact	urn:lsid:marinespecies.org:taxname:582421	Radiozoa	accepted	582421	Radiozoa	Chromista	Radiozoa							
Rhabdosphaera	Rhabdosphaera		235966	exact	urn:lsid:marinespecies.org:taxname:235966	Rhabdosphaera	unaccepted	603344	Rhabdolithes	Chromista	Haptophyta	Prymnesiophyceae	Syracosphaerales	Rhabdosphaeraceae	Rhabdosphaera			
Rhizosolenia	Rhizosolenia		149069	exact	urn:lsid:marinespecies.org:taxname:149069	Rhizosolenia	accepted	149069	Rhizosolenia	Chromista	Ochrophyta	Bacillariophyceae	Rhizosoleniales	Rhizosoleniaceae	Rhizosolenia			
Scrippsiella	Scrippsiella		109545	exact	urn:lsid:marinespecies.org:taxname:109545	Scrippsiella	accepted	109545	Scrippsiella	Chromista	Myzozoa	Dinophyceae	Peridiniales	Peridiniaceae	Scrippsiella			
Skeletonema	Skeletonema		149073	exact	urn:lsid:marinespecies.org:taxname:149073	Skeletonema	accepted	149073	Skeletonema	Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema			
Stenosemella_morphotype1	Stenosemella morphotype1		178825	exact	urn:lsid:marinespecies.org:taxname:178825	Stenosemella	accepted	178825	Stenosemella	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Codonellopsidae	Stenosemella			
Stenosemella_pacifica	Stenosemella pacifica		417165	exact	urn:lsid:marinespecies.org:taxname:417165	Stenosemella pacifica	accepted	417165	Stenosemella pacifica	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Codonellopsidae	Stenosemella		pacifica	
Stephanopyxis	Stephanopyxis		149630	exact	urn:lsid:marinespecies.org:taxname:149630	Stephanopyxis	accepted	149630	Stephanopyxis	Chromista	Ochrophyta	Bacillariophyceae	Melosirales	Stephanopyxidaceae	Stephanopyxis			
Strobilidium	Strobilidium		101185	exact	urn:lsid:marinespecies.org:taxname:101185	Strobilidium	accepted	101185	Strobilidium	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Strobilidiidae	Strobilidium			
Strombidium_capitatum	Strombidium capitatum		101282	exact	urn:lsid:marinespecies.org:taxname:101282	Strombidium capitatum	accepted	101282	Strombidium capitatum	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium		capitatum	
